model,article_type,queries,recall_at_5,recall_at_10,precision_at_5,precision_at_10,map_at_5,map_at_10
EfficientNet-B0,Wallets,24,0.004812834224598931,0.00926916221033868,0.9,0.8666666666666667,0.8983333333333333,0.8428025793650793
EfficientNet-B0,Watches,58,0.0019473734207276527,0.003847249928754631,0.9896551724137931,0.9775862068965517,0.9842528735632183,0.9697454844006568
ResNet-18,Backpacks,16,0.006742738589211618,0.013312586445366528,0.975,0.9625,0.971875,0.9488913690476191
ResNet-18,Belts,19,0.006092818252527872,0.01212081928960332,0.9894736842105264,0.9842105263157894,0.9894736842105264,0.9804385964912281
ResNet-18,Bra,11,0.01050420168067227,0.020817417876241407,1.0,0.990909090909091,1.0,0.990909090909091
ResNet-18,Briefs,19,0.005647964250248262,0.011295928500496525,0.9578947368421052,0.9578947368421052,0.9578947368421052,0.9481808688387635
ResNet-18,Casual Shoes,74,0.0012349783878782123,0.002389208188856695,0.7027027027027027,0.6797297297297297,0.6153603603603603,0.5684732947232948
ResNet-18,Dresses,15,0.004319654427645789,0.008063354931605472,0.4,0.3733333333333333,0.3131111111111112,0.2638888888888889
ResNet-18,Earrings,13,0.011464497041420118,0.022004437869822483,0.9538461538461539,0.9153846153846155,0.9507692307692307,0.8950671550671552
ResNet-18,Flats,12,0.0041750167000668,0.006513026052104208,0.4166666666666667,0.325,0.2822222222222222,0.18720899470899469
ResNet-18,Flip Flops,19,0.004083980442910555,0.007765314926660914,0.7473684210526317,0.7105263157894737,0.6921052631578948,0.6410066833751045
ResNet-18,Formal Shoes,16,0.006289308176100629,0.012578616352201259,0.8,0.8,0.7635416666666667,0.722844742063492
ResNet-18,Handbags,42,0.002464922260144103,0.00480795276017119,0.8666666666666666,0.8452380952380952,0.8268253968253968,0.797627551020408
ResNet-18,Heels,27,0.002213257130049868,0.00406230739059786,0.5851851851851853,0.5370370370370371,0.5164197530864197,0.4233847736625514
ResNet-18,Jeans,18,0.006955885044847153,0.013362621270364269,0.8444444444444444,0.8111111111111111,0.7859259259259259,0.7545458553791887
ResNet-18,Kurtas,43,0.0018296760842408104,0.0034069830534139236,0.6744186046511628,0.627906976744186,0.5953488372093023,0.5264857881136951
ResNet-18,Perfume and Body Mist,15,0.005981511691136488,0.01022294725394236,0.7333333333333333,0.6266666666666667,0.644,0.538547619047619
ResNet-18,Sandals,23,0.0038334627329192545,0.006939052795031055,0.6869565217391305,0.6217391304347827,0.6397101449275362,0.5426777087646653
ResNet-18,Sarees,12,0.009389671361502346,0.01936619718309859,0.7999999999999999,0.8250000000000001,0.7925,0.7787003968253968
ResNet-18,Shirts,79,0.0014572322040440164,0.0028632643576756754,0.9367088607594937,0.920253164556962,0.9178902953586499,0.8920052240305404
ResNet-18,Shorts,13,0.008030431107354184,0.015919977458438997,0.8769230769230769,0.8692307692307693,0.8556410256410256,0.8231501831501831
ResNet-18,Socks,13,0.006513194834362718,0.013363279056709714,0.8923076923076922,0.9153846153846155,0.8830769230769231,0.8907417582417583
ResNet-18,Sports Shoes,46,0.0015917102873624612,0.003258198910372823,0.6478260869565218,0.6630434782608695,0.577463768115942,0.5657393029675638
ResNet-18,Sunglasses,19,0.004565985860172819,0.009230164964650431,0.9789473684210527,0.9894736842105264,0.9747368421052631,0.9805722639933165
ResNet-18,Tops,39,0.0014269281730951238,0.002708251430568296,0.5025641025641026,0.47692307692307695,0.40752136752136753,0.3567877492877493
ResNet-18,Track Pants,12,0.011001100110011,0.020627062706270627,0.6666666666666666,0.625,0.5844444444444444,0.5136011904761905
ResNet-18,Trousers,13,0.007416024429256944,0.014250399883670205,0.7846153846153846,0.7538461538461537,0.7146153846153847,0.6603998778998779
ResNet-18,Tshirts,141,0.0006080747510505846,0.001203104994240348,0.8595744680851064,0.8503546099290781,0.8289598108747045,0.8055986153326579
ResNet-18,Wallets,24,0.005035650623885918,0.009714795008912655,0.9416666666666668,0.9083333333333333,0.930138888888889,0.8826025132275133
ResNet-18,Watches,58,0.0019405881474846994,0.003854035201997585,0.9862068965517242,0.9793103448275862,0.9801149425287355,0.9695682813355228
ResNet-50,Backpacks,16,0.006656293222683264,0.012793914246196404,0.9625,0.925,0.9372916666666666,0.902921626984127
ResNet-50,Belts,19,0.006028001037075448,0.01199118485869847,0.9789473684210527,0.9736842105263158,0.9519298245614035,0.9497013366750209
ResNet-50,Bra,11,0.01050420168067227,0.02100840336134454,1.0,1.0,1.0,1.0
ResNet-50,Briefs,19,0.005461767626613705,0.01098560079443893,0.9263157894736843,0.9315789473684211,0.9147368421052631,0.9109294068504595
ResNet-50,Casual Shoes,74,0.0012872274735192134,0.0024319574407447872,0.7324324324324325,0.6918918918918919,0.6445945945945947,0.5844734019734019
ResNet-50,Dresses,15,0.004319654427645789,0.008495320374370051,0.4,0.39333333333333337,0.328,0.2787513227513227
ResNet-50,Earrings,13,0.010724852071005918,0.020155325443786985,0.8923076923076922,0.8384615384615385,0.8776923076923077,0.7924328449328448
ResNet-50,Flats,12,0.004676018704074816,0.0060120240480961915,0.4666666666666666,0.3,0.38055555555555554,0.2246031746031746
ResNet-50,Flip Flops,19,0.004026459591601955,0.007592752372735117,0.7368421052631579,0.6947368421052631,0.6696491228070175,0.6154553049289891
ResNet-50,Formal Shoes,16,0.006387578616352202,0.012873427672955975,0.8125,0.81875,0.7783333333333333,0.7419196428571428
ResNet-50,Handbags,42,0.0025326399046535567,0.004970475106993878,0.8904761904761904,0.8738095238095239,0.8666666666666666,0.8391250944822373
ResNet-50,Heels,27,0.0021572253039726565,0.0038661959993276183,0.5703703703703704,0.5111111111111112,0.44802469135802464,0.37986478542034097
ResNet-50,Jeans,18,0.0072304594545121725,0.01372872048325096,0.8777777777777778,0.8333333333333334,0.8362962962962963,0.7995149911816578
ResNet-50,Kurtas,43,0.0019053868187611201,0.0036214968012214664,0.7023255813953488,0.6674418604651162,0.6407751937984496,0.5738971945367294
ResNet-50,Perfume and Body Mist,15,0.005437737901033171,0.009679173463839043,0.6666666666666666,0.5933333333333334,0.6055555555555556,0.5225925925925926
ResNet-50,Sandals,23,0.0037849378881987575,0.007278726708074535,0.6782608695652174,0.6521739130434783,0.6257971014492754,0.5575569358178053
ResNet-50,Sarees,12,0.009194053208137714,0.01662754303599374,0.7833333333333333,0.7083333333333334,0.775,0.6859623015873016
ResNet-50,Shirts,79,0.0014375398769623405,0.0028278181689286586,0.9240506329113924,0.9088607594936708,0.9065822784810127,0.8859021498894917
ResNet-50,Shorts,13,0.008030431107354184,0.015356438433361512,0.8769230769230769,0.8384615384615385,0.8446153846153847,0.7912973137973137
ResNet-50,Socks,13,0.006962380685008421,0.013812464907355418,0.9538461538461539,0.9461538461538462,0.9400000000000001,0.9280830280830281
ResNet-50,Sports Shoes,46,0.0018267279136844354,0.0035466296335861557,0.7434782608695653,0.7217391304347827,0.6701449275362319,0.6285006901311249
ResNet-50,Sunglasses,19,0.004565985860172819,0.009230164964650431,0.9789473684210527,0.9894736842105264,0.9789473684210527,0.9826775271512114
ResNet-50,Tops,39,0.0016016540718414654,0.002970340278687808,0.5641025641025641,0.523076923076923,0.46948717948717944,0.39764550264550264
ResNet-50,Track Pants,12,0.010726072607260726,0.021177117711771175,0.65,0.6416666666666667,0.5769444444444444,0.5374371693121693
ResNet-50,Trousers,13,0.007561436672967863,0.015268285589646649,0.8,0.8076923076923077,0.7487179487179488,0.7326312576312576
ResNet-50,Tshirts,141,0.0006161021405033976,0.0012201631968275755,0.8709219858156028,0.8624113475177304,0.849290780141844,0.8263345716537206
ResNet-50,Wallets,24,0.004679144385026738,0.00944741532976827,0.875,0.8833333333333333,0.8551388888888889,0.839823082010582
ResNet-50,Watches,58,0.001933802874241746,0.003867605748483492,0.9827586206896551,0.9827586206896551,0.9752873563218392,0.9716112479474549
